feature,importance
h5__eeg1_theta_power_mean_mean,0.0006306052704357787
h5__eeg1_sigma_relative_power_median_mean,0.0006303106501126293
h5__eeg4_delta_sigma_ratio_mean_std,0.0006292830391948298
h5__eeg4_sigma_power_median_max,0.0006267991995292725
report__respiration_rate_n3_median,0.0006258045272757001
report__n3_latency_aasm_median,0.0006247464107197122
h5__eeg2_sigma_power_median_mean,0.0006232446611202376
h5__eeg4_zero_crossings_mean_std,0.0006218743786457015
h5__eeg2_delta_beta_ratio_mean_median,0.0006211686613038642
report__n3_duration_max,0.0006210359408033827
h5__eeg4_theta_power_mean_min,0.0006206040265610809
h5__eeg2_alpha_power_mean_min,0.0006187833156034048
h5__eeg1_theta_alpha_ratio_std_std,0.0006168737060041407
h5__eeg1_theta_relative_power_median_mean,0.0006162035086011124
h5__eeg2_total_power_0p5_30_mean_std,0.0006133006053257132
h5__eeg4_iqr_std_std,0.0006090012520350994
h5__eeg1_delta_power_median_min,0.0006077922077922075
report__lrem4_median,0.0006070394246210584
h5__Wake_epochs_max,0.0006067821067821051
h5__eeg4_skew_std_mean,0.0006028000955437926
h5__eeg3_std_mean_max,0.0006027011638015311
h5__eeg1_hjorth_mobility_median_median,0.0006022879152389976
h5__eeg2_sigma_power_median_min,0.0006007572494975595
report__sleep_efficiency_min,0.0005983303923052035
h5__eeg2_delta_beta_ratio_std_std,0.0005982003721113221
h5__eeg3_beta_relative_power_std_std,0.0005952380952380962
h5__eeg3_beta_relative_power_mean_min,0.0005934204361529936
h5__eeg2_kurtosis_median_max,0.0005930746308588216
h5__N1_percentage_median,0.0005921244058812792
h5__eeg3_beta_relative_power_mean_max,0.0005912867316632424
h5__eeg3_skew_median_mean,0.0005901407895185845
h5__eeg2_delta_relative_power_median_min,0.0005899414670719324
h5__eeg4_zero_crossings_std_max,0.0005880997681077327
h5__eeg1_sigma_power_std_std,0.0005863600239900004
h5__eeg1_sigma_relative_power_std_std,0.000584325396825397
h5__eeg4_delta_power_mean_max,0.0005834987546052344
h5__eeg3_theta_alpha_ratio_mean_std,0.0005817740691204078
h5__eeg3_theta_alpha_ratio_median_mean,0.0005808531746031771
h5__eeg1_delta_beta_ratio_mean_std,0.0005802469135802473
h5__eeg1_delta_beta_ratio_std_mean,0.0005782828366315027
h5__eeg1_total_power_0p5_30_mean_mean,0.000576923076923076
h5__eeg2_theta_power_mean_mean,0.0005754462037138554
h5__eeg4_delta_sigma_ratio_mean_mean,0.0005734667362492792
report__respiration_rate_n3_min,0.0005717794120894899
h5__eeg2_std_mean_min,0.0005700238125611253
h5__eeg4_hjorth_mobility_median_std,0.0005690458375398825
h5__N3_percentage_mean,0.0005648547085566601
h5__eeg3_delta_sigma_ratio_mean_median,0.0005609585435166839
h5__eeg1_theta_relative_power_mean_std,0.0005601916216116807
h5__eeg1_theta_relative_power_std_min,0.0005601464247377715
report__lrem4_min,0.0005529485049833884
report__n2_latency_aasm_median,0.0005506464305789768
h5__eeg4_zero_crossings_median_median,0.000550064915060295
h5__eeg2_skew_median_max,0.0005492779088668765
report__confidence_nr_of_shifts_median,0.0005461592670894997
h5__eeg4_sigma_power_mean_median,0.0005449346405228762
h5__wake_epochs_std,0.0005429872066406479
h5__eeg1_alpha_power_std_median,0.0005423076923076925
h5__eeg1_alpha_power_median_max,0.0005418060200668898
h5__eeg1_hjorth_complexity_mean_min,0.0005411287586465337
h5__eeg2_delta_power_std_mean,0.0005411010558069383
h5__eeg1_zero_crossings_mean_mean,0.0005408896620757359
h5__eeg3_skew_mean_mean,0.0005399821456797142
h5__eeg1_hjorth_complexity_median_std,0.0005376878940855695
h5__eeg2_delta_relative_power_std_std,0.0005375808860129423
report__respiration_rate_n3_max,0.0005364936601046614
h5__eeg2_delta_sigma_ratio_mean_std,0.0005357586534912118
report__waso_mean,0.0005355106001713032
h5__eeg2_beta_power_std_median,0.0005347493071871548
h5__eeg2_sigma_power_std_min,0.0005340342801013773
h5__eeg3_std_median_std,0.0005329464180350269
h5__eeg2_skew_mean_min,0.0005307118254879447
h5__eeg4_kurtosis_mean_mean,0.0005290256563841448
h5__eeg2_iqr_median_mean,0.0005250938291001139
h5__eeg1_hjorth_complexity_median_min,0.0005223024265585507
h5__eeg4_alpha_relative_power_mean_max,0.0005222222222222224
report__nrem_duration_mean,0.0005220754290876243
h5__eeg4_hjorth_mobility_std_std,0.0005214423423155059
report__n2_percentage_std,0.0005206705338858856
h5__eeg1_alpha_power_std_std,0.0005194880744618964
report__record_duration_max,0.0005188182663632022
h5__eeg2_kurtosis_median_median,0.0005164899428057331
h5__eeg4_total_power_0p5_30_mean_std,0.0005160514240351453
