feature,nrev_mean,ssp_mean,absolute_standardised_difference,importance
confidence_sol_mean,79.78929212447412,79.9929989808115,0.012787945129264396,7.075471698113585e-05
respiration_rate_n1_max,16.66337195334114,16.92484210526316,0.11146184502236327,6.697045015189364e-05
confidence_waso_min,13.701658038719767,12.579894736842107,0.0421187886943356,5.543827618342172e-05
confidence_rem_duration_min,22.711189443671092,11.752210526315789,0.4414819863748285,2.249357326485389e-06
confidence_sleep_efficiency_median,65.79943775466711,62.65357894736842,0.09247953064881648,2.0824656393191768e-06
confidence_n1_duration_min,8.58271850902401,7.955052631578947,0.031096255343477944,5.3432415813214905e-18
confidence_tst_min,16.292473602526208,11.988210526315788,0.16767666578982185,3.492284916747973e-18
confidence_n2_percentage_min,23.854119424326154,12.510851063829787,0.4672277742839094,1.8041124150158744e-18
confidence_n3_percentage_min,21.548649650887704,8.63063829787234,0.5967321578301819,1.118114463378598e-18
confidence_n1_percentage_min,8.852115948486793,6.73223404255319,0.12144516493386584,0.0
