threshold,balanced_accuracy,macro_f1,sensitivity,specificity,tn,fp,fn,tp
0.017387015604454176,0.631578947368421,0.3278985507246377,1.0,0.2631578947368421,25,70,0,11
0.9972661782684594,0.6311004784688995,0.6771573604060914,0.2727272727272727,0.9894736842105263,94,1,8,3
0.016381302235097234,0.6263157894736842,0.3199602421613807,1.0,0.25263157894736843,24,71,0,11
0.01335332618826739,0.6210526315789474,0.31193653083303285,1.0,0.24210526315789474,23,72,0,11
0.012938066817038494,0.6105263157894737,0.29561781609195403,1.0,0.22105263157894736,21,74,0,11
0.012770091123969464,0.6052631578947368,0.28731510533393095,1.0,0.21052631578947367,20,75,0,11
0.012217248261738327,0.6,0.2789115646258503,1.0,0.2,19,76,0,11
0.01113353683051488,0.5947368421052631,0.27040314650934116,1.0,0.18947368421052632,18,77,0,11
0.011056030558358219,0.5894736842105264,0.2617857142857143,1.0,0.17894736842105263,17,78,0,11
0.9985050172024587,0.5856459330143541,0.6176046176046176,0.18181818181818182,0.9894736842105263,94,1,9,2
0.010990130004860592,0.5842105263157895,0.25305503523325307,1.0,0.16842105263157894,16,79,0,11
0.010645312912976273,0.5789473684210527,0.24420677361853832,1.0,0.15789473684210525,15,80,0,11
0.00957857925858992,0.5736842105263158,0.23523648347733145,1.0,0.14736842105263157,14,81,0,11
0.008906142469879882,0.5684210526315789,0.22613960113960113,1.0,0.1368421052631579,13,82,0,11
0.00833395653479331,0.5631578947368421,0.21691143747218514,1.0,0.12631578947368421,12,83,0,11
0.0075664098697017425,0.5578947368421052,0.20754716981132076,1.0,0.11578947368421053,11,84,0,11
0.007242074085949816,0.5526315789473684,0.19804183355585225,1.0,0.10526315789473684,10,85,0,11
0.007029739358588322,0.5473684210526316,0.18839031339031337,1.0,0.09473684210526316,9,86,0,11
0.99944573691224,0.5454545454545454,0.5583333333333333,0.09090909090909091,1.0,95,0,10,1
0.00690865059887413,0.5421052631578948,0.1785873341052819,1.0,0.08421052631578947,8,87,0,11
0.9993468535251948,0.5401913875598086,0.549284885968303,0.09090909090909091,0.9894736842105263,94,1,10,1
0.006592007770034803,0.5368421052631579,0.16862745098039217,1.0,0.07368421052631578,7,88,0,11
0.0060550629271087205,0.531578947368421,0.1585050396931585,1.0,0.06315789473684211,6,89,0,11
0.0044333967644029715,0.5263157894736842,0.14821428571428572,1.0,0.05263157894736842,5,90,0,11
0.0032250728261306637,0.5210526315789473,0.13774917314740323,1.0,0.042105263157894736,4,91,0,11
0.003056508451573924,0.5157894736842106,0.12710347296813462,1.0,0.031578947368421054,3,92,0,11
0.003014379479034195,0.5105263157894737,0.1162707306140744,1.0,0.021052631578947368,2,93,0,11
0.0005381931795928589,0.5,0.09401709401709402,1.0,0.0,0,95,0,11
