dataset,model,fold_id,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,sensitivity_narcolepsy,specificity_comparison,roc_auc
report_only,random_forest,25,0.7777777777777778,0.6785714285714286,0.6785714285714286,0.7777777777777778,0.6785714285714286,0.6785714285714286,0.5,0.8571428571428571,0.8571428571428572
report_only,random_forest,26,0.8,0.875,0.7619047619047619,0.819047619047619,0.75,0.875,1.0,0.75,0.75
report_only,random_forest,27,0.8,0.6666666666666666,0.6875,0.7625,0.8888888888888888,0.6666666666666666,0.3333333333333333,1.0,0.8095238095238095
report_only,random_forest,28,0.4444444444444444,0.2857142857142857,0.3076923076923077,0.4786324786324787,0.3333333333333333,0.2857142857142857,0.0,0.5714285714285714,0.5
report_only,random_forest,29,0.7777777777777778,0.6785714285714286,0.6785714285714286,0.7777777777777778,0.6785714285714286,0.6785714285714286,0.5,0.8571428571428571,0.9285714285714286
report_only,random_forest,30,0.8888888888888888,0.9285714285714286,0.8615384615384616,0.8957264957264957,0.8333333333333333,0.9285714285714286,1.0,0.8571428571428571,0.8571428571428572
report_only,random_forest,31,0.6,0.375,0.375,0.6,0.375,0.375,0.0,0.75,0.625
report_only,random_forest,32,0.8,0.7619047619047619,0.7619047619047619,0.8,0.7619047619047619,0.7619047619047619,0.6666666666666666,0.8571428571428571,0.9523809523809524
report_only,random_forest,33,0.8888888888888888,0.75,0.8,0.874074074074074,0.9375,0.75,0.5,1.0,1.0
report_only,random_forest,34,0.7777777777777778,0.8571428571428572,0.75,0.7962962962962963,0.75,0.8571428571428572,1.0,0.7142857142857143,0.8571428571428572
report_only,random_forest,35,0.7777777777777778,0.6785714285714286,0.6785714285714286,0.7777777777777778,0.6785714285714286,0.6785714285714286,0.5,0.8571428571428571,0.8571428571428572
report_only,random_forest,36,0.7,0.625,0.6000000000000001,0.72,0.5952380952380952,0.625,0.5,0.75,0.5
report_only,random_forest,37,0.8,0.6666666666666666,0.6875,0.7625,0.8888888888888888,0.6666666666666666,0.3333333333333333,1.0,1.0
report_only,random_forest,38,0.6666666666666666,0.6071428571428572,0.5846153846153846,0.6871794871794872,0.5833333333333334,0.6071428571428572,0.5,0.7142857142857143,0.7857142857142857
report_only,random_forest,39,0.7777777777777778,0.8571428571428572,0.75,0.7962962962962963,0.75,0.8571428571428572,1.0,0.7142857142857143,0.8571428571428572
report_only,random_forest,40,0.5555555555555556,0.35714285714285715,0.35714285714285715,0.5555555555555556,0.35714285714285715,0.35714285714285715,0.0,0.7142857142857143,0.6428571428571428
report_only,random_forest,41,0.8,0.6875,0.6875,0.8,0.6875,0.6875,0.5,0.875,0.9375
report_only,random_forest,42,0.9,0.8333333333333333,0.8666666666666667,0.8933333333333333,0.9375,0.8333333333333333,0.6666666666666666,1.0,0.8095238095238095
report_only,random_forest,43,0.7777777777777778,0.6785714285714286,0.6785714285714286,0.7777777777777778,0.6785714285714286,0.6785714285714286,0.5,0.8571428571428571,0.9285714285714286
