feature,source,family
h5__eeg3_alpha_power_median_mean,h5,spectral_power
h5__eeg3_alpha_relative_power_mean_mean,h5,spectral_power
h5__eeg3_alpha_relative_power_std_mean,h5,spectral_power
h5__eeg3_alpha_relative_power_median_mean,h5,spectral_power
h5__eeg3_sigma_power_mean_mean,h5,spectral_power
h5__eeg3_sigma_power_std_mean,h5,spectral_power
h5__eeg3_sigma_power_median_mean,h5,spectral_power
h5__eeg3_sigma_relative_power_mean_mean,h5,spectral_power
h5__eeg3_sigma_relative_power_std_mean,h5,spectral_power
h5__eeg3_sigma_relative_power_median_mean,h5,spectral_power
h5__eeg3_beta_power_mean_mean,h5,spectral_power
h5__eeg3_beta_power_std_mean,h5,spectral_power
h5__eeg3_beta_power_median_mean,h5,spectral_power
h5__eeg3_beta_relative_power_mean_mean,h5,spectral_power
h5__eeg3_beta_relative_power_std_mean,h5,spectral_power
h5__eeg3_beta_relative_power_median_mean,h5,spectral_power
h5__eeg3_theta_alpha_ratio_mean_mean,h5,spectral_ratio
h5__eeg3_theta_alpha_ratio_std_mean,h5,spectral_ratio
h5__eeg3_theta_alpha_ratio_median_mean,h5,spectral_ratio
h5__eeg3_delta_beta_ratio_mean_mean,h5,spectral_ratio
h5__eeg3_delta_beta_ratio_std_mean,h5,spectral_ratio
h5__eeg3_delta_beta_ratio_median_mean,h5,spectral_ratio
h5__eeg3_delta_sigma_ratio_mean_mean,h5,spectral_ratio
h5__eeg3_delta_sigma_ratio_std_mean,h5,spectral_ratio
h5__eeg3_delta_sigma_ratio_median_mean,h5,spectral_ratio
h5__eeg4_mean_mean_mean,h5,time_domain
h5__eeg4_mean_std_mean,h5,time_domain
h5__eeg4_mean_median_mean,h5,time_domain
h5__eeg4_std_mean_mean,h5,time_domain
h5__eeg4_std_std_mean,h5,time_domain
h5__eeg4_std_median_mean,h5,time_domain
h5__eeg4_iqr_mean_mean,h5,time_domain
h5__eeg4_iqr_std_mean,h5,time_domain
h5__eeg4_iqr_median_mean,h5,time_domain
