source,feature,importance
CNC EDF,N1_epochs_min,0.0112651347058746
CNC EDF,N1_epochs_median,0.0107098906808912
CNC EDF,N1_percentage_min,0.0090006318000076
CNC EDF,f4_delta_beta_ratio_median_median,0.0089755257077723
CNC EDF,N2_percentage_max,0.0084488180089253
CNC EDF,f3_beta_relative_power_median_mean,0.0082976862677055
CNC EDF,f3_kurtosis_median_median,0.0081112743303749
CNC EDF,N1_percentage_median,0.007972688734696
CNC EDF,sleep_epochs_min,0.0076552465538128
CNC EDF,f3_kurtosis_median_max,0.0073332690303474
CNC EDF,N1_percentage_mean,0.0071027952550591
